데이터기준일자,전화번호,대표자명,홈페이지주소,휴무일,공휴일운영종료시각,공휴일운영시작시각,주말운영종료시각,주말운영시작시각,평일운영종료시각,평일운영시작시각,수입차요금,레저용차요금,승합차요금,대형차요금,중형차요금,소형차요금,경차요금,전기승합자동차보유대수,전기승용자동차보유대수,승합차보유대수,승용차보유대수,자동차총보유대수,보유차고지수용능력,차고지지번주소,차고지도로명주소,경도,위도,소재지지번주소,소재지도로명주소,사업장구분,업체명,제공기관코드,제공기관명
2019-09-26,032-425-3366,,,,,,,,21:00,09:00,,,,,,,,0,0,9,81,90,,,인천광역시 미추홀구 연수구 테크노파크로164,126.691511,37.458011,,인천광역시 미추홀구 경인로 460(주안동),주사업장,이렌트카,3510500,인천광역시 미추홀구
2019-09-26,032-876-6700,,,,,,,,19:30,08:30,,,,,,,,0,0,4,48,52,,,인천광역시 미추홀구 한나루로460(주안동),126.6681086565,37.448037,,인천광역시 미추홀구 한나루로460(주안동),주사업장,해피렌트카,3510500,인천광역시 미추홀구
2019-09-26,032-888-5595,,,,,,,,20:00,08:30,,,,,,,,0,0,0,10,10,,,"인천광역시 서구 중봉대로 612번길 10-17,7층(청라타워돔)",126.672275,37.4440277536,,인천광역시 미추홀구 주승로17번길 5(주안동),영업소,팔도렌트카,3510500,인천광역시 미추홀구
2019-09-26,032-888-5595,,,,,,,,20:00,08:30,,,,,,,,0,0,2,77,79,,,인천광역시 미추홀구 낙섬서로49번길 30-9 외 1곳,126.6348239588,37.4547193951,,인천광역시 미추홀구 낙섬서로49번길 30-9(용현동),주사업장,팔도렌트카,3510500,인천광역시 미추홀구
2019-09-26,032-433-3005,,,,,,,,19:00,09:30,,,,,,,,0,0,0,90,90,,,인천광역시 연수구 테크노파크로 164,126.6985034712,37.4437012472,,"인천광역시 미추홀구 문화로51(관교동,301호)",주사업장,엠티렌터카,3510500,인천광역시 미추홀구
2019-09-26,032-462-7351,,,,,,,,19:00,09:00,,,,,,,,0,0,1,10,11,,,인천광역시 연수구 테크노파크로164,126.673065,37.438782,,"인천광역시 미추홀구 소성로228번길 11 (학익동, 103호)",영업소,가나다렌트카,3510500,인천광역시 미추홀구
2019-09-26,032-433-2324,,,,,,,,20:00,08:00,,,,,,,,0,0,1,29,30,,,인천광역시 연수구 테크노파크로164,126.690983,37.4501474881,,"인천광역시 미추홀구 경원대로752번길 19 (주안동, 110호)",주사업장,가나다렌트카,3510500,인천광역시 미추홀구
2019-09-10,1661-2202,함기석,,없음,18:00,09:00,18:00,09:00,18:00,09:00,0,0,120000,100000,70000,50000,30000,0,0,3,71,74,74,,서울특별시 양천구 가로공원로 72여울공영주차장(신월3동),126.7624671,37.516950,,"경기도 부천시 송내대로388,200동 406호(약대동 부천테크노파크2단지)",주사업장,㈜씨앤피렌터카,3860000,경기도 부천시
2019-09-10,070-7397-6001,김영진,,없음,09:00,09:00,09:00,09:00,09:00,09:00,0,0,320000,310000,180000,125000,95000,0,0,0,96,96,96,,경기도 부천시 원미구 상동로 84,126.7743758,37.5206360,,"경기도 부천시 신흥로413번길18,3층",주사업장,㈜한기련렌트카,3860000,경기도 부천시
2019-09-10,032-664-8890,김병환,,없음,21:00,08:30,21:00,08:30,21:00,08:30,0,0,110000,90000,60000,50000,40000,0,0,2,52,54,54,,"경기도 부천시 중동로254번길 90,(공영주차장 제4호)",126.7510500419,37.4902183582,,"경기도 부천시 부일로191번길 35, 상가동 지층9호(상동,반달마을)",주사업장,㈜한빛이엔지,3860000,경기도 부천시
2019-09-10,031-446-1469,한장한,,없음,00:00,00:00,22:00,09:00,22:00,09:00,0,0,110000,90000,70000,60000,50000,0,0,0,50,50,50,,"경기도 부천시 길주로77번길 55-25, 10층(상동, 대야복합타워)",126.750533,37.486917,,"경기도 부천시 송내대로33번길 48-5, 1층(송내동)",주사업장,(유)엠렌트카,3860000,경기도 부천시
2019-09-10,070-7644-7777,권중성,,없음,20:00,09:00,20:00,09:00,20:00,09:00,500000,0,120000,110000,70000,60000,50000,0,0,12,169,181,181,,경기도 부천시 중동로 254번길90 외,126.753272,37.489565,,경기도 부천시 부일로205번길 26,주사업장,세븐렌탈㈜,3860000,경기도 부천시
2019-09-10,032-322-7936,팽중원,,없음,18:00,09:00,18:00,09:00,18:00,09:00,200000,0,120000,115000,70000,55000,50000,0,0,13,316,329,329,,경기도 부천시  상동로 84 외,126.753470,37.504474,,경기도 부천시 상동로 84,주사업장,㈜피제이렌트카,3860000,경기도 부천시
2019-09-10,032-667-3506,김세훈,,없음,20:00,09:00,20:00,09:00,20:00,09:00,0,0,100000,0,75000,60000,0,0,0,4,81,85,85,,경기도 부천시 중동로254번길 90 외,126.750407,37.487187,,경기도 부천시 송내대로39번길 51,주사업장,㈜신한렌터카,3860000,경기도 부천시
2019-09-10,032-342-7008,김영일,,없음,00:00,00:00,00:00,00:00,18:00,09:00,200000,0,135000,135000,80000,65000,55000,0,0,9,156,165,165,,경기도 부천시 길주로77번길55-25,126.750689,37.5071995,,경기도 부천시 길주로77번길55-25,주사업장,㈜중호렌트카,3860000,경기도 부천시
